Artist,Category,Priority,Status,Notes
Fra Angelico,Religious/Devotional,,todo,Early-Renaissance Florentine; devotional fresco/altarpiece painter. Strong fit for a subject-matter / iconography study.
Sandro Botticelli,Religious/Mythological,,todo,"Early-Renaissance Florentine; line-driven mythological + devotional work (Birth of Venus, Primavera)."
Henri Matisse,Fauvism,,todo,French Fauvism; bold expressive color + decorative pattern + economical line; late cut-outs. Color-harmony exemplar. In-copyright (d.1954).
Henri de Toulouse-Lautrec,Post-Impressionism,,todo,"French Post-Impressionist; Moulin Rouge posters; expressive line, flat decorative shape. PD (d.1901)."
Leonardo da Vinci,Renaissance/Figurative,,todo,"Italian High Renaissance; drawing, sfumato, anatomy + composition. PD."
Raphael,Renaissance/Figurative,,todo,"Italian High Renaissance; grace, composition, drawing. PD."
Titian,Renaissance/Figurative,,todo,Venetian Renaissance; color + loaded brushwork. PD.
Rembrandt,Baroque/Figurative,,todo,"Dutch Golden Age; value/light, etching, portrait. PD."
Peter Paul Rubens,Baroque/Figurative,,todo,"Flemish Baroque; dynamic composition, color, flesh. PD."
Anthony van Dyck,Baroque/Portrait,,todo,Flemish Baroque; elegant portraiture. PD.
Diego Velázquez,Baroque/Figurative,,todo,"Spanish Baroque; brushwork, value, realism. PD."
Caravaggio,Baroque/Figurative,,todo,Italian Baroque; dramatic chiaroscuro / tenebrism; value exemplar. PD.
Jusepe de Ribera,Baroque/Figurative,,todo,"Spanish Baroque; tenebrist realism, value. PD."
Albrecht Dürer,Northern Renaissance/Printmaking,,todo,"German Northern Renaissance; master engraver/draftsman; line, precision. PD."
Hieronymus Bosch,Religious/Fantastical,,todo,Early-Netherlandish; fantastical religious/moral imagery; subject-matter/iconography candidate. PD.
Pieter Bruegel the Elder,Genre/Landscape,,todo,"Netherlandish; peasant genre + landscape, composition. PD."
Jean Fouquet,Religious/Devotional,,todo,French Early-Renaissance; illumination + panel. PD.
Carlo Crivelli,Religious/Devotional,,todo,"Italian Early-Renaissance; linear, ornate devotional panels. PD."
Filippo Lippi,Religious/Devotional,,todo,"Italian Early-Renaissance; devotional, line/composition. PD."
Henry Fuseli,Romanticism/Figurative,,todo,"Swiss-British Romantic; dramatic figure, the uncanny (The Nightmare). PD."
François Boucher,Rococo/Mythological,,todo,"French Rococo; decorative color, mythological/pastoral. PD."
William-Adolphe Bouguereau,Academic/Figurative,,todo,"French academic; polished figure/anatomy, idealized realism. PD."
Jean-Léon Gérôme,Academic/Orientalist,,todo,"French academic/Orientalist; precise finish, narrative. PD."
